,Region/Country/Economy,Year,Million tonnes of CO2
192,Lithuania,1972,..
193,Luxembourg,1972,16.117636
194,Netherlands,1972,142.500883
195,Norway,1972,23.558764
196,Poland,1972,299.576749
197,Portugal,1972,14.549996
198,Slovak Republic,1972,39.294049
199,Slovenia,1972,..
200,Spain,1972,125.005222
201,Sweden,1972,82.173712
202,Switzerland,1972,39.387906
203,Turkey,1972,49.055633
204,United Kingdom,1972,602.249049
205,OECD Europe,1972,3726.097004
206,Albania,1972,4.446404
207,Armenia,1972,..
208,Azerbaijan,1972,..
209,Belarus,1972,..
210,Bosnia and Herzegovina,1972,..
211,Bulgaria,1972,65.873207
212,Croatia,1972,..
213,Cyprus,1972,2.170397
214,Georgia,1972,..
215,Gibraltar,1972,0.05923
216,Kazakhstan,1972,..
217,Kosovo,1972,..
218,Kyrgyzstan,1972,..
219,Malta,1972,0.828296
220,Republic of Moldova,1972,..
221,Montenegro,1972,..
222,Republic of North Macedonia,1972,..
223,Romania,1972,118.342977
224,Russian Federation,1972,..
225,Serbia,1972,..
226,Tajikistan,1972,..
227,Turkmenistan,1972,..
228,Ukraine,1972,..
229,Uzbekistan,1972,..
230,Former Soviet Union (if no detail),1972,2054.781986
231,Former Yugoslavia (if no detail),1972,60.986349
232,Non-OECD Europe and Eurasia,1972,2307.488846
233,Algeria,1972,9.643154
234,Angola,1972,2.405734
235,Benin,1972,0.399858
236,Botswana,1972,..
237,Cameroon,1972,0.769923
238,Congo,1972,0.605685
239,Côte d'Ivoire,1972,2.652976
240,Dem. Rep. of Congo,1972,2.643358
241,Egypt,1972,22.53856
242,Eritrea,1972,..
243,Ethiopia,1972,1.207798
244,Gabon,1972,0.472551
245,Ghana,1972,2.007377
246,Kenya,1972,3.385962
247,Libya,1972,5.40609
248,Mauritius,1972,0.290146
249,Morocco,1972,7.23056
250,Mozambique,1972,2.656237
251,Namibia,1972,..
252,Niger,1972,..
253,Nigeria,1972,6.844628
254,Senegal,1972,1.250851
255,South Africa,1972,162.895135
256,South Sudan,1972,..
257,Sudan,1972,3.40838
258,United Rep. of Tanzania,1972,1.639618
259,Togo,1972,0.359389
260,Tunisia,1972,4.140034
261,Zambia,1972,3.781046
262,Zimbabwe,1972,6.867484
263,Other Africa,1972,8.496169
264,Africa,1972,263.998703
265,Bangladesh,1972,2.879934
266,Brunei Darussalam,1972,0.385554
267,Cambodia,1972,..
268,DPR of Korea,1972,71.535841
269,India,1972,188.294281
270,Indonesia,1972,28.345325
271,Malaysia,1972,12.598451
272,Mongolia,1972,..
273,Myanmar,1972,4.394079
274,Nepal,1972,0.259621
275,Pakistan,1972,16.000198
276,Philippines,1972,24.69391
277,Singapore,1972,7.22202
278,Sri Lanka,1972,3.390964
279,Chinese Taipei,1972,33.867922
280,Thailand,1972,18.274131
281,Viet Nam,1972,15.903088
282,Other Asia,1972,10.396564
283,Asia (excl. China),1972,438.441883
284,People's Rep. of China,1972,831.391074
285,"Hong Kong, China",1972,9.559367
286,"China (incl. Hong Kong, China)",1972,840.950441
287,Argentina,1972,83.568664
288,Bolivia,1972,2.397195
289,Brazil,1972,95.121976
290,Colombia,1972,27.327007
291,Costa Rica,1972,1.424178
292,Cuba,1972,20.234647
293,Curaçao,1972,14.112515
294,Dominican Republic,1972,4.572649
295,Ecuador,1972,3.521572
296,El Salvador,1972,1.532042
297,Guatemala,1972,2.49315
298,Haiti,1972,0.355967
299,Honduras,1972,1.158467
300,Jamaica,1972,6.084397
301,Nicaragua,1972,1.526743
302,Panama,1972,2.660544
303,Paraguay,1972,0.630896
304,Peru,1972,15.402703
305,Suriname,1972,..
306,Trinidad and Tobago,1972,5.472722
307,Uruguay,1972,5.567495
308,Venezuela,1972,47.404034
309,Other Non-OECD Americas,1972,9.484772
310,Non-OECD Americas,1972,352.054335
311,Bahrain,1972,3.301257
312,Islamic Rep. of Iran,1972,43.018533
313,Iraq,1972,11.495864
314,Jordan,1972,1.502173
315,Kuwait,1972,15.457532
316,Lebanon,1972,4.984535
317,Oman,1972,0.262776
318,Qatar,1972,2.469786
319,Saudi Arabia,1972,14.409906
320,Syrian Arab Republic ,1972,5.143147
321,United Arab Emirates,1972,2.585426
322,Yemen,1972,1.454611
323,Middle East,1972,106.085546
324,IEA/Accession/Association,1972,11083.94612
325,European Union - 28,1972,..
326,G7,1972,8023.871363
327,G8,1972,..
328,G20,1972,..
329,Africa,1972,263.998703
330,Americas,1972,5365.040026
331,Asia,1972,..
332,Europe,1972,..
333,Oceania,1972,168.055674
334,Canada,1973,375.653582
335,Chile,1973,20.006579
336,Mexico,1973,117.63082
337,United States,1973,4691.090844
338,OECD Americas,1973,5204.381825
339,Australia,1973,157.734249
340,Israel,1973,15.653201
341,Japan,1973,897.85521
342,Korea,1973,68.234471
343,New Zealand,1973,16.696632
344,OECD Asia Oceania,1973,1156.173763
345,Austria,1973,53.809202
346,Belgium,1973,133.081563
347,Czech Republic,1973,149.353694
348,Denmark,1973,56.252823
349,Estonia,1973,..
350,Finland,1973,47.924706
351,France,1973,474.377986
352,Germany,1973,1052.182398
353,Greece,1973,33.724807
354,Hungary,1973,66.405318
355,Iceland,1973,1.666275
356,Ireland,1973,20.829591
357,Italy,1973,328.081933
358,Latvia,1973,..
359,Lithuania,1973,..
360,Luxembourg,1973,17.447977
361,Netherlands,1973,148.450095
362,Norway,1973,23.368386
363,Poland,1973,312.790456
364,Portugal,1973,16.191536
365,Slovak Republic,1973,40.971941
366,Slovenia,1973,..
367,Spain,1973,139.380677
368,Sweden,1973,83.562243
369,Switzerland,1973,42.985846
370,Turkey,1973,52.754934
371,United Kingdom,1973,634.238978
372,OECD Europe,1973,3929.833365
373,Albania,1973,3.923777
374,Armenia,1973,..
375,Azerbaijan,1973,..
376,Belarus,1973,..
377,Bosnia and Herzegovina,1973,..
378,Bulgaria,1973,67.731105
379,Croatia,1973,..
380,Cyprus,1973,2.275467
381,Georgia,1973,..
382,Gibraltar,1973,0.059001
383,Kazakhstan,1973,..
384,Kosovo,1973,..
385,Kyrgyzstan,1973,..
386,Malta,1973,0.794404
387,Republic of Moldova,1973,..
388,Montenegro,1973,..
389,Republic of North Macedonia,1973,..
390,Romania,1973,129.115526
391,Russian Federation,1973,..
392,Serbia,1973,..
393,Tajikistan,1973,..
394,Turkmenistan,1973,..
395,Ukraine,1973,..
396,Uzbekistan,1973,..
397,Former Soviet Union (if no detail),1973,2189.515257
398,Former Yugoslavia (if no detail),1973,66.319758
399,Non-OECD Europe and Eurasia,1973,2459.734295
400,Algeria,1973,10.996327
401,Angola,1973,2.199131
402,Benin,1973,0.409581
403,Botswana,1973,..
404,Cameroon,1973,0.797873
405,Congo,1973,0.599404
406,Côte d'Ivoire,1973,2.710676
407,Dem. Rep. of Congo,1973,2.62255
408,Egypt,1973,20.696799
409,Eritrea,1973,..
410,Ethiopia,1973,1.298756
411,Gabon,1973,0.610544
412,Ghana,1973,2.07969
413,Kenya,1973,3.53958
414,Libya,1973,5.786403
415,Mauritius,1973,0.327956
416,Morocco,1973,8.329745
417,Mozambique,1973,2.771983
418,Namibia,1973,..
419,Niger,1973,..
420,Nigeria,1973,8.417153
421,Senegal,1973,1.379128
422,South Africa,1973,178.462552
423,South Sudan,1973,..
424,Sudan,1973,4.546732
425,United Rep. of Tanzania,1973,1.672532
426,Togo,1973,0.304709
427,Tunisia,1973,4.23004
428,Zambia,1973,4.134305
429,Zimbabwe,1973,8.006572
430,Other Africa,1973,8.732067
431,Africa,1973,285.662788
432,Bangladesh,1973,3.415264
433,Brunei Darussalam,1973,0.685174
434,Cambodia,1973,..
435,DPR of Korea,1973,72.854708
436,India,1973,188.084387
437,Indonesia,1973,32.111295
438,Malaysia,1973,13.024393
439,Mongolia,1973,..
440,Myanmar,1973,3.442839
441,Nepal,1973,0.394329
442,Pakistan,1973,16.989654
443,Philippines,1973,27.698282
444,Singapore,1973,8.121994
445,Sri Lanka,1973,3.533886
446,Chinese Taipei,1973,38.097224
447,Thailand,1973,20.717229
448,Viet Nam,1973,17.596204
449,Other Asia,1973,11.584728
450,Asia (excl. China),1973,458.35159
451,People's Rep. of China,1973,864.162164
452,"Hong Kong, China",1973,9.629659
453,"China (incl. Hong Kong, China)",1973,873.791823
454,Argentina,1973,87.346547
455,Bolivia,1973,2.529484
456,Brazil,1973,112.08633
457,Colombia,1973,28.665865
458,Costa Rica,1973,1.629287
459,Cuba,1973,21.702838
460,Curaçao,1973,15.607217
461,Dominican Republic,1973,4.636073
462,Ecuador,1973,3.967888
463,El Salvador,1973,1.688563
464,Guatemala,1973,2.630933
465,Haiti,1973,0.365385
466,Honduras,1973,1.266173
467,Jamaica,1973,8.067099
468,Nicaragua,1973,1.6687
469,Panama,1973,2.917585
470,Paraguay,1973,0.703103
471,Peru,1973,16.252576
472,Suriname,1973,..
473,Trinidad and Tobago,1973,5.667528
474,Uruguay,1973,5.218391
475,Venezuela,1973,55.039786
476,Other Non-OECD Americas,1973,10.402494
477,Non-OECD Americas,1973,390.059845
478,Bahrain,1973,4.267854
479,Islamic Rep. of Iran,1973,51.987425
480,Iraq,1973,11.807706
481,Jordan,1973,1.721909
482,Kuwait,1973,16.255438
483,Lebanon,1973,6.387461
484,Oman,1973,0.290807
485,Qatar,1973,3.456428
486,Saudi Arabia,1973,17.566038
487,Syrian Arab Republic ,1973,4.930734
488,United Arab Emirates,1973,3.233522
489,Yemen,1973,1.861904
490,Middle East,1973,123.767226
491,IEA/Accession/Association,1973,11685.14517
492,European Union - 28,1973,..
493,G7,1973,8453.480931
494,G8,1973,..
495,G20,1973,..
496,Africa,1973,285.662788
497,Americas,1973,5594.44167
498,Asia,1973,..
499,Europe,1973,..
500,Oceania,1973,179.319822
501,Canada,1974,385.344416
502,Chile,1974,19.709771
503,Mexico,1974,128.283263
504,United States,1974,4539.98189
505,OECD Americas,1974,5073.31934
506,Australia,1974,172.549574
507,Israel,1974,15.823381
508,Japan,1974,886.076965
509,Korea,1974,71.623931
510,New Zealand,1974,17.390727
511,OECD Asia Oceania,1974,1163.464578
512,Austria,1974,51.134609
513,Belgium,1974,130.928862
514,Czech Republic,1974,148.492885
515,Denmark,1974,50.01681
516,Estonia,1974,..
517,Finland,1974,44.208844
518,France,1974,456.558521
519,Germany,1974,1025.899087
520,Greece,1974,32.259338
521,Hungary,1974,68.758533
522,Iceland,1974,1.661571
523,Ireland,1974,22.601027
524,Italy,1974,331.43441
525,Latvia,1974,..
526,Lithuania,1974,..
527,Luxembourg,1974,16.012065
528,Netherlands,1974,140.148814
529,Norway,1974,22.698546
530,Poland,1974,325.211998
531,Portugal,1974,16.487656
532,Slovak Republic,1974,41.841452
533,Slovenia,1974,..
534,Spain,1974,150.904352
535,Sweden,1974,76.514404
536,Switzerland,1974,38.506848
537,Turkey,1974,55.306318
538,United Kingdom,1974,595.189739
539,OECD Europe,1974,3842.776689
540,Albania,1974,4.11133
541,Armenia,1974,..
542,Azerbaijan,1974,..
543,Belarus,1974,..
544,Bosnia and Herzegovina,1974,..
545,Bulgaria,1974,68.77888
546,Croatia,1974,..
547,Cyprus,1974,1.735447
548,Georgia,1974,..
549,Gibraltar,1974,0.059048
550,Kazakhstan,1974,..
551,Kosovo,1974,..
552,Kyrgyzstan,1974,..
553,Malta,1974,0.725875
554,Republic of Moldova,1974,..
555,Montenegro,1974,..
556,Republic of North Macedonia,1974,..
557,Romania,1974,129.79499
558,Russian Federation,1974,..
559,Serbia,1974,..
560,Tajikistan,1974,..
561,Turkmenistan,1974,..
562,Ukraine,1974,..
563,Uzbekistan,1974,..
564,Former Soviet Union (if no detail),1974,2311.790773
565,Former Yugoslavia (if no detail),1974,71.51029
566,Non-OECD Europe and Eurasia,1974,2588.506633
567,Algeria,1974,11.943385
568,Angola,1974,2.253837
569,Benin,1974,0.421428
570,Botswana,1974,..
571,Cameroon,1974,0.795467
572,Congo,1974,0.603605
573,Côte d'Ivoire,1974,2.808985
574,Dem. Rep. of Congo,1974,2.6897
575,Egypt,1974,23.432926
576,Eritrea,1974,..
577,Ethiopia,1974,1.32179
578,Gabon,1974,0.55938
579,Ghana,1974,2.181189
580,Kenya,1974,3.525256
581,Libya,1974,6.780983
582,Mauritius,1974,0.397134
583,Morocco,1974,9.101343
584,Mozambique,1974,2.674152
585,Namibia,1974,..
586,Niger,1974,..
587,Nigeria,1974,9.200067
588,Senegal,1974,1.469605
589,South Africa,1974,185.319902
590,South Sudan,1974,..
591,Sudan,1974,4.269517
592,United Rep. of Tanzania,1974,1.504019
593,Togo,1974,0.272966
594,Tunisia,1974,4.780959
595,Zambia,1974,4.130575
596,Zimbabwe,1974,7.658104
597,Other Africa,1974,9.347611
598,Africa,1974,299.443885
599,Bangladesh,1974,3.895908
600,Brunei Darussalam,1974,1.142141
601,Cambodia,1974,..
602,DPR of Korea,1974,75.905987
603,India,1974,203.438294
604,Indonesia,1974,35.255924
605,Malaysia,1974,15.239512
606,Mongolia,1974,..
607,Myanmar,1974,4.02564
608,Nepal,1974,0.373918
609,Pakistan,1974,17.959063
610,Philippines,1974,26.556041
611,Singapore,1974,8.464359
612,Sri Lanka,1974,2.887007
613,Chinese Taipei,1974,37.136434
614,Thailand,1974,20.647901
615,Viet Nam,1974,14.41353
616,Other Asia,1974,13.679103
617,Asia (excl. China),1974,481.020762
618,People's Rep. of China,1974,881.732495
619,"Hong Kong, China",1974,11.005085
620,"China (incl. Hong Kong, China)",1974,892.73758
621,Argentina,1974,87.346588
622,Bolivia,1974,2.737852
623,Brazil,1974,121.847281
624,Colombia,1974,30.819718
625,Costa Rica,1974,1.576507
626,Cuba,1974,23.557074
627,Curaçao,1974,14.122548
628,Dominican Republic,1974,4.998163
629,Ecuador,1974,5.235338
630,El Salvador,1974,1.698276
631,Guatemala,1974,2.714006
632,Haiti,1974,0.408776
633,Honduras,1974,1.249289
634,Jamaica,1974,7.415011
635,Nicaragua,1974,1.837817
636,Panama,1974,2.978268
637,Paraguay,1974,0.666169
638,Peru,1974,17.490844
639,Suriname,1974,..
640,Trinidad and Tobago,1974,5.194405
641,Uruguay,1974,5.036873
642,Venezuela,1974,56.264607
643,Other Non-OECD Americas,1974,8.575003
644,Non-OECD Americas,1974,403.770413
645,Bahrain,1974,5.049697
646,Islamic Rep. of Iran,1974,58.70695
647,Iraq,1974,12.827445
648,Jordan,1974,1.829317
649,Kuwait,1974,15.712203
650,Lebanon,1974,6.488247
651,Oman,1974,0.448978
652,Qatar,1974,2.998563
653,Saudi Arabia,1974,20.205112
654,Syrian Arab Republic ,1974,6.984725
655,United Arab Emirates,1974,3.371135
656,Yemen,1974,1.843756
657,Middle East,1974,136.466128
658,IEA/Accession/Association,1974,11527.88315
659,European Union - 28,1974,..
660,G7,1974,8220.485028
661,G8,1974,..
662,G20,1974,..
663,Africa,1974,299.443885
664,Americas,1974,5477.089753
665,Asia,1974,..
666,Europe,1974,..
667,Oceania,1974,196.726679
668,Canada,1975,377.105855
669,Chile,1975,17.111657
670,Mexico,1975,134.558202
671,United States,1975,4355.839181
672,OECD Americas,1975,4884.614895
673,Australia,1975,179.467397
674,Israel,1975,16.410171
675,Japan,1975,849.909997
676,Korea,1975,77.728222
677,New Zealand,1975,16.429691
678,OECD Asia Oceania,1975,1139.945478
679,Austria,1975,49.488796
680,Belgium,1975,115.556917
681,Czech Republic,1975,154.982193
682,Denmark,1975,52.645648
683,Estonia,1975,..
684,Finland,1975,44.188917000000004
685,France,1975,423.108047
686,Germany,1975,973.365909
687,Greece,1975,34.099717
688,Hungary,1975,70.172709
689,Iceland,1975,1.614157
690,Ireland,1975,21.14887
691,Italy,1975,317.060307
692,Latvia,1975,..
693,Lithuania,1975,..
694,Luxembourg,1975,12.739168
695,Netherlands,1975,131.96201
696,Norway,1975,23.603322
697,Poland,1975,338.900005
698,Portugal,1975,18.03111
699,Slovak Republic,1975,43.153699
700,Slovenia,1975,..
701,Spain,1975,155.843041
702,Sweden,1975,79.041446
703,Switzerland,1975,36.753441
704,Turkey,1975,59.631229
705,United Kingdom,1975,576.041678
706,OECD Europe,1975,3733.132336
707,Albania,1975,4.338334
708,Armenia,1975,..
709,Azerbaijan,1975,..
710,Belarus,1975,..
711,Bosnia and Herzegovina,1975,..
712,Bulgaria,1975,73.315187
713,Croatia,1975,..
714,Cyprus,1975,1.658258
715,Georgia,1975,..
716,Gibraltar,1975,0.062036
717,Kazakhstan,1975,..
718,Kosovo,1975,..
719,Kyrgyzstan,1975,..
720,Malta,1975,0.651329
721,Republic of Moldova,1975,..
722,Montenegro,1975,..
723,Republic of North Macedonia,1975,..
724,Romania,1975,140.600336
725,Russian Federation,1975,..
726,Serbia,1975,..
727,Tajikistan,1975,..
728,Turkmenistan,1975,..
729,Ukraine,1975,..
730,Uzbekistan,1975,..
731,Former Soviet Union (if no detail),1975,2480.695966
732,Former Yugoslavia (if no detail),1975,73.469765
733,Non-OECD Europe and Eurasia,1975,2774.791211
734,Algeria,1975,13.552694
735,Angola,1975,1.955802
736,Benin,1975,0.462751
737,Botswana,1975,..
738,Cameroon,1975,1.019224
739,Congo,1975,0.606426
740,Côte d'Ivoire,1975,3.03834
741,Dem. Rep. of Congo,1975,2.620726
742,Egypt,1975,25.581444
743,Eritrea,1975,..
744,Ethiopia,1975,1.17811
745,Gabon,1975,0.757319
746,Ghana,1975,2.305818
747,Kenya,1975,3.460622
748,Libya,1975,8.6706
749,Mauritius,1975,0.4224
750,Morocco,1975,9.662413
751,Mozambique,1975,2.375964
752,Namibia,1975,..
753,Niger,1975,..
754,Nigeria,1975,10.816425
755,Senegal,1975,1.609257
756,South Africa,1975,202.998951
757,South Sudan,1975,..
758,Sudan,1975,3.212724
759,United Rep. of Tanzania,1975,1.405116
760,Togo,1975,0.317366
761,Tunisia,1975,4.846357
762,Zambia,1975,4.326456
763,Zimbabwe,1975,7.16925
764,Other Africa,1975,9.885997
765,Africa,1975,324.258552
766,Bangladesh,1975,4.409654
767,Brunei Darussalam,1975,1.408173
768,Cambodia,1975,..
769,DPR of Korea,1975,78.598511
770,India,1975,217.193593
771,Indonesia,1975,37.839826
772,Malaysia,1975,16.217173
773,Mongolia,1975,..
774,Myanmar,1975,3.927468
775,Nepal,1975,0.318654
776,Pakistan,1975,19.981642
777,Philippines,1975,29.244261
778,Singapore,1975,8.439735
779,Sri Lanka,1975,2.637329
780,Chinese Taipei,1975,40.743958
781,Thailand,1975,21.151546
782,Viet Nam,1975,16.953904
783,Other Asia,1975,12.761011
784,Asia (excl. China),1975,511.826438
785,People's Rep. of China,1975,1029.31944
786,"Hong Kong, China",1975,10.897089
787,"China (incl. Hong Kong, China)",1975,1040.216529
788,Argentina,1975,85.231756
789,Bolivia,1975,3.224491
790,Brazil,1975,129.628181
791,Colombia,1975,28.297258
792,Costa Rica,1975,1.738003
793,Cuba,1975,24.184624
794,Curaçao,1975,10.195285
795,Dominican Republic,1975,5.213329
796,Ecuador,1975,5.935604
797,El Salvador,1975,1.929707
798,Guatemala,1975,3.015686
799,Haiti,1975,0.412844
800,Honduras,1975,1.327971
801,Jamaica,1975,7.448304
802,Nicaragua,1975,1.849605
803,Panama,1975,3.096657
804,Paraguay,1975,0.703543
805,Peru,1975,18.240381
806,Suriname,1975,..
807,Trinidad and Tobago,1975,4.57518
808,Uruguay,1975,5.333968
809,Venezuela,1975,56.070364
810,Other Non-OECD Americas,1975,10.868678
811,Non-OECD Americas,1975,408.521419
812,Bahrain,1975,5.229829
813,Islamic Rep. of Iran,1975,68.032544
814,Iraq,1975,15.538682
815,Jordan,1975,2.151025
816,Kuwait,1975,15.107406
817,Lebanon,1975,5.709367
818,Oman,1975,0.72224
819,Qatar,1975,4.927527
820,Saudi Arabia,1975,22.518895
821,Syrian Arab Republic ,1975,8.260522
822,United Arab Emirates,1975,4.919173
823,Yemen,1975,1.752491
824,Middle East,1975,154.869701
825,IEA/Accession/Association,1975,11395.90207
826,European Union - 28,1975,..
827,G7,1975,7872.430974
828,G8,1975,..
829,G20,1975,..
830,Africa,1975,324.258552
831,Americas,1975,5293.136314
832,Asia,1975,..
833,Europe,1975,..
834,Oceania,1975,201.114755
835,Canada,1976,389.220686
836,Chile,1976,17.892473
837,Mexico,1976,145.195089
838,United States,1976,4616.828588
839,OECD Americas,1976,5169.136836
840,Australia,1976,181.886685
841,Israel,1976,16.484552
842,Japan,1976,876.4601720000001
843,Korea,1976,86.410592
844,New Zealand,1976,18.177912
845,OECD Asia Oceania,1976,1179.419913
846,Austria,1976,53.948382
847,Belgium,1976,124.648283
848,Czech Republic,1976,159.828856
849,Denmark,1976,58.309554
850,Estonia,1976,..
851,Finland,1976,50.402788
852,France,1976,463.082467
853,Germany,1976,1029.249705
854,Greece,1976,38.825879
855,Hungary,1976,73.341083
856,Iceland,1976,1.59045
857,Ireland,1976,21.876159
858,Italy,1976,341.984762
859,Latvia,1976,..
860,Lithuania,1976,..
861,Luxembourg,1976,13.641986
862,Netherlands,1976,140.723494
863,Norway,1976,25.342984
864,Poland,1976,362.484716
865,Portugal,1976,19.347863
866,Slovak Republic,1976,43.689704
867,Slovenia,1976,..
868,Spain,1976,172.513826
869,Sweden,1976,85.860411
870,Switzerland,1976,38.581554
871,Turkey,1976,66.674617
872,United Kingdom,1976,582.095187
873,OECD Europe,1976,3968.04471
874,Albania,1976,4.677358
875,Armenia,1976,..
876,Azerbaijan,1976,..
877,Belarus,1976,..
878,Bosnia and Herzegovina,1976,..
879,Bulgaria,1976,73.199135
880,Croatia,1976,..
881,Cyprus,1976,1.93937
882,Georgia,1976,..
883,Gibraltar,1976,0.062083
884,Kazakhstan,1976,..
885,Kosovo,1976,..
886,Kyrgyzstan,1976,..
887,Malta,1976,0.740289
888,Republic of Moldova,1976,..
889,Montenegro,1976,..
890,Republic of North Macedonia,1976,..
891,Romania,1976,153.509375
