,Region/Country/Economy,Year,Million tonnes of CO2
191,Sweden,1972,82.173712
192,Switzerland,1972,39.387906
193,Turkey,1972,49.055633
194,United Kingdom,1972,602.249049
195,OECD Europe,1972,3726.097004
196,Albania,1972,4.446404
197,Armenia,1972,..
198,Azerbaijan,1972,..
199,Belarus,1972,..
200,Bosnia and Herzegovina,1972,..
201,Bulgaria,1972,65.873207
202,Croatia,1972,..
203,Cyprus,1972,2.170397
204,Georgia,1972,..
205,Gibraltar,1972,0.05923
206,Kazakhstan,1972,..
207,Kosovo,1972,..
208,Kyrgyzstan,1972,..
209,Malta,1972,0.828296
210,Republic of Moldova,1972,..
211,Montenegro,1972,..
212,Republic of North Macedonia,1972,..
213,Romania,1972,118.342977
214,Russian Federation,1972,..
215,Serbia,1972,..
216,Tajikistan,1972,..
217,Turkmenistan,1972,..
218,Ukraine,1972,..
219,Uzbekistan,1972,..
220,Former Soviet Union (if no detail),1972,2054.781986
221,Former Yugoslavia (if no detail),1972,60.986349
222,Non-OECD Europe and Eurasia,1972,2307.488846
223,Algeria,1972,9.643154
224,Angola,1972,2.405734
225,Benin,1972,0.399858
226,Botswana,1972,..
227,Cameroon,1972,0.769923
228,Congo,1972,0.605685
229,Côte d'Ivoire,1972,2.652976
230,Dem. Rep. of Congo,1972,2.643358
231,Egypt,1972,22.53856
232,Eritrea,1972,..
233,Ethiopia,1972,1.207798
234,Gabon,1972,0.472551
235,Ghana,1972,2.007377
236,Kenya,1972,3.385962
237,Libya,1972,5.40609
238,Mauritius,1972,0.290146
239,Morocco,1972,7.23056
240,Mozambique,1972,2.656237
241,Namibia,1972,..
242,Niger,1972,..
243,Nigeria,1972,6.844628
244,Senegal,1972,1.250851
245,South Africa,1972,162.895135
246,South Sudan,1972,..
247,Sudan,1972,3.40838
248,United Rep. of Tanzania,1972,1.639618
249,Togo,1972,0.359389
250,Tunisia,1972,4.140034
251,Zambia,1972,3.781046
252,Zimbabwe,1972,6.867484
253,Other Africa,1972,8.496169
254,Africa,1972,263.998703
255,Bangladesh,1972,2.879934
256,Brunei Darussalam,1972,0.385554
257,Cambodia,1972,..
258,DPR of Korea,1972,71.535841
259,India,1972,188.294281
260,Indonesia,1972,28.345325
261,Malaysia,1972,12.598451
262,Mongolia,1972,..
263,Myanmar,1972,4.394079
264,Nepal,1972,0.259621
265,Pakistan,1972,16.000198
266,Philippines,1972,24.69391
267,Singapore,1972,7.22202
268,Sri Lanka,1972,3.390964
269,Chinese Taipei,1972,33.867922
270,Thailand,1972,18.274131
271,Viet Nam,1972,15.903088
272,Other Asia,1972,10.396564
273,Asia (excl. China),1972,438.441883
274,People's Rep. of China,1972,831.391074
275,"Hong Kong, China",1972,9.559367
276,"China (incl. Hong Kong, China)",1972,840.950441
277,Argentina,1972,83.568664
278,Bolivia,1972,2.397195
279,Brazil,1972,95.121976
280,Colombia,1972,27.327007
281,Costa Rica,1972,1.424178
282,Cuba,1972,20.234647
283,Curaçao,1972,14.112515
284,Dominican Republic,1972,4.572649
285,Ecuador,1972,3.521572
286,El Salvador,1972,1.532042
287,Guatemala,1972,2.49315
288,Haiti,1972,0.355967
289,Honduras,1972,1.158467
290,Jamaica,1972,6.084397
291,Nicaragua,1972,1.526743
292,Panama,1972,2.660544
293,Paraguay,1972,0.630896
294,Peru,1972,15.402703
295,Suriname,1972,..
296,Trinidad and Tobago,1972,5.472722
297,Uruguay,1972,5.567495
298,Venezuela,1972,47.404034
299,Other Non-OECD Americas,1972,9.484772
300,Non-OECD Americas,1972,352.054335
301,Bahrain,1972,3.301257
302,Islamic Rep. of Iran,1972,43.018533
303,Iraq,1972,11.495864
304,Jordan,1972,1.502173
305,Kuwait,1972,15.457532
306,Lebanon,1972,4.984535
307,Oman,1972,0.262776
308,Qatar,1972,2.469786
309,Saudi Arabia,1972,14.409906
310,Syrian Arab Republic ,1972,5.143147
311,United Arab Emirates,1972,2.585426
312,Yemen,1972,1.454611
313,Middle East,1972,106.085546
314,Canada,1973,375.653582
315,Chile,1973,20.006579
316,Mexico,1973,117.63082
317,United States,1973,4691.090844
318,OECD Americas,1973,5204.381825
319,Australia,1973,157.734249
320,Israel,1973,15.653201
321,Japan,1973,897.85521
322,Korea,1973,68.234471
323,New Zealand,1973,16.696632
324,OECD Asia Oceania,1973,1156.173763
325,Austria,1973,53.809202
326,Belgium,1973,133.081563
327,Czech Republic,1973,149.353694
328,Denmark,1973,56.252823
329,Estonia,1973,..
330,Finland,1973,47.924706
331,France,1973,474.377986
332,Germany,1973,1052.182398
333,Greece,1973,33.724807
334,Hungary,1973,66.405318
335,Iceland,1973,1.666275
336,Ireland,1973,20.829591
337,Italy,1973,328.081933
338,Latvia,1973,..
339,Lithuania,1973,..
340,Luxembourg,1973,17.447977
341,Netherlands,1973,148.450095
342,Norway,1973,23.368386
343,Poland,1973,312.790456
344,Portugal,1973,16.191536
345,Slovak Republic,1973,40.971941
346,Slovenia,1973,..
347,Spain,1973,139.380677
348,Sweden,1973,83.562243
349,Switzerland,1973,42.985846
350,Turkey,1973,52.754934
351,United Kingdom,1973,634.238978
352,OECD Europe,1973,3929.833365
353,Albania,1973,3.923777
354,Armenia,1973,..
355,Azerbaijan,1973,..
356,Belarus,1973,..
357,Bosnia and Herzegovina,1973,..
358,Bulgaria,1973,67.731105
359,Croatia,1973,..
360,Cyprus,1973,2.275467
361,Georgia,1973,..
362,Gibraltar,1973,0.059001
363,Kazakhstan,1973,..
364,Kosovo,1973,..
365,Kyrgyzstan,1973,..
366,Malta,1973,0.794404
367,Republic of Moldova,1973,..
368,Montenegro,1973,..
369,Republic of North Macedonia,1973,..
370,Romania,1973,129.115526
371,Russian Federation,1973,..
372,Serbia,1973,..
373,Tajikistan,1973,..
374,Turkmenistan,1973,..
375,Ukraine,1973,..
376,Uzbekistan,1973,..
377,Former Soviet Union (if no detail),1973,2189.515257
378,Former Yugoslavia (if no detail),1973,66.319758
379,Non-OECD Europe and Eurasia,1973,2459.734295
380,Algeria,1973,10.996327
381,Angola,1973,2.199131
382,Benin,1973,0.409581
383,Botswana,1973,..
384,Cameroon,1973,0.797873
385,Congo,1973,0.599404
386,Côte d'Ivoire,1973,2.710676
387,Dem. Rep. of Congo,1973,2.62255
388,Egypt,1973,20.696799
389,Eritrea,1973,..
390,Ethiopia,1973,1.298756
391,Gabon,1973,0.610544
392,Ghana,1973,2.07969
393,Kenya,1973,3.53958
394,Libya,1973,5.786403
395,Mauritius,1973,0.327956
396,Morocco,1973,8.329745
397,Mozambique,1973,2.771983
398,Namibia,1973,..
399,Niger,1973,..
400,Nigeria,1973,8.417153
401,Senegal,1973,1.379128
402,South Africa,1973,178.462552
403,South Sudan,1973,..
404,Sudan,1973,4.546732
405,United Rep. of Tanzania,1973,1.672532
406,Togo,1973,0.304709
407,Tunisia,1973,4.23004
408,Zambia,1973,4.134305
409,Zimbabwe,1973,8.006572
410,Other Africa,1973,8.732067
411,Africa,1973,285.662788
412,Bangladesh,1973,3.415264
413,Brunei Darussalam,1973,0.685174
414,Cambodia,1973,..
415,DPR of Korea,1973,72.854708
416,India,1973,188.084387
417,Indonesia,1973,32.111295
418,Malaysia,1973,13.024393
419,Mongolia,1973,..
420,Myanmar,1973,3.442839
421,Nepal,1973,0.394329
422,Pakistan,1973,16.989654
423,Philippines,1973,27.698282
424,Singapore,1973,8.121994
425,Sri Lanka,1973,3.533886
426,Chinese Taipei,1973,38.097224
427,Thailand,1973,20.717229
428,Viet Nam,1973,17.596204
429,Other Asia,1973,11.584728
430,Asia (excl. China),1973,458.35159
431,People's Rep. of China,1973,864.162164
432,"Hong Kong, China",1973,9.629659
433,"China (incl. Hong Kong, China)",1973,873.791823
434,Argentina,1973,87.346547
435,Bolivia,1973,2.529484
436,Brazil,1973,112.08633
437,Colombia,1973,28.665865
438,Costa Rica,1973,1.629287
439,Cuba,1973,21.702838
440,Curaçao,1973,15.607217
441,Dominican Republic,1973,4.636073
442,Ecuador,1973,3.967888
443,El Salvador,1973,1.688563
444,Guatemala,1973,2.630933
445,Haiti,1973,0.365385
446,Honduras,1973,1.266173
447,Jamaica,1973,8.067099
448,Nicaragua,1973,1.6687
449,Panama,1973,2.917585
450,Paraguay,1973,0.703103
451,Peru,1973,16.252576
452,Suriname,1973,..
453,Trinidad and Tobago,1973,5.667528
454,Uruguay,1973,5.218391
455,Venezuela,1973,55.039786
456,Other Non-OECD Americas,1973,10.402494
457,Non-OECD Americas,1973,390.059845
458,Bahrain,1973,4.267854
459,Islamic Rep. of Iran,1973,51.987425
460,Iraq,1973,11.807706
461,Jordan,1973,1.721909
462,Kuwait,1973,16.255438
463,Lebanon,1973,6.387461
464,Oman,1973,0.290807
465,Qatar,1973,3.456428
466,Saudi Arabia,1973,17.566038
467,Syrian Arab Republic ,1973,4.930734
468,United Arab Emirates,1973,3.233522
469,Yemen,1973,1.861904
470,Middle East,1973,123.767226
471,Canada,1974,385.344416
472,Chile,1974,19.709771
473,Mexico,1974,128.283263
474,United States,1974,4539.98189
475,OECD Americas,1974,5073.31934
476,Australia,1974,172.549574
477,Israel,1974,15.823381
478,Japan,1974,886.076965
479,Korea,1974,71.623931
480,New Zealand,1974,17.390727
481,OECD Asia Oceania,1974,1163.464578
482,Austria,1974,51.134609
483,Belgium,1974,130.928862
484,Czech Republic,1974,148.492885
485,Denmark,1974,50.01681
486,Estonia,1974,..
487,Finland,1974,44.208844
488,France,1974,456.558521
489,Germany,1974,1025.899087
490,Greece,1974,32.259338
491,Hungary,1974,68.758533
492,Iceland,1974,1.661571
493,Ireland,1974,22.601027
494,Italy,1974,331.43441
495,Latvia,1974,..
496,Lithuania,1974,..
497,Luxembourg,1974,16.012065
498,Netherlands,1974,140.148814
499,Norway,1974,22.698546
500,Poland,1974,325.211998
501,Portugal,1974,16.487656
502,Slovak Republic,1974,41.841452
503,Slovenia,1974,..
504,Spain,1974,150.904352
505,Sweden,1974,76.514404
506,Switzerland,1974,38.506848
507,Turkey,1974,55.306318
508,United Kingdom,1974,595.189739
509,OECD Europe,1974,3842.776689
510,Albania,1974,4.11133
511,Armenia,1974,..
512,Azerbaijan,1974,..
513,Belarus,1974,..
514,Bosnia and Herzegovina,1974,..
515,Bulgaria,1974,68.77888
516,Croatia,1974,..
517,Cyprus,1974,1.735447
518,Georgia,1974,..
519,Gibraltar,1974,0.059048
520,Kazakhstan,1974,..
521,Kosovo,1974,..
522,Kyrgyzstan,1974,..
523,Malta,1974,0.725875
524,Republic of Moldova,1974,..
525,Montenegro,1974,..
526,Republic of North Macedonia,1974,..
527,Romania,1974,129.79499
528,Russian Federation,1974,..
529,Serbia,1974,..
530,Tajikistan,1974,..
531,Turkmenistan,1974,..
532,Ukraine,1974,..
533,Uzbekistan,1974,..
534,Former Soviet Union (if no detail),1974,2311.790773
535,Former Yugoslavia (if no detail),1974,71.51029
536,Non-OECD Europe and Eurasia,1974,2588.506633
537,Algeria,1974,11.943385
538,Angola,1974,2.253837
539,Benin,1974,0.421428
540,Botswana,1974,..
541,Cameroon,1974,0.795467
542,Congo,1974,0.603605
543,Côte d'Ivoire,1974,2.808985
544,Dem. Rep. of Congo,1974,2.6897
545,Egypt,1974,23.432926
546,Eritrea,1974,..
547,Ethiopia,1974,1.32179
548,Gabon,1974,0.55938
549,Ghana,1974,2.181189
550,Kenya,1974,3.525256
551,Libya,1974,6.780983
552,Mauritius,1974,0.397134
553,Morocco,1974,9.101343
554,Mozambique,1974,2.674152
555,Namibia,1974,..
556,Niger,1974,..
557,Nigeria,1974,9.200067
558,Senegal,1974,1.469605
559,South Africa,1974,185.319902
560,South Sudan,1974,..
561,Sudan,1974,4.269517
562,United Rep. of Tanzania,1974,1.504019
563,Togo,1974,0.272966
564,Tunisia,1974,4.780959
565,Zambia,1974,4.130575
566,Zimbabwe,1974,7.658104
567,Other Africa,1974,9.347611
568,Africa,1974,299.443885
569,Bangladesh,1974,3.895908
570,Brunei Darussalam,1974,1.142141
571,Cambodia,1974,..
572,DPR of Korea,1974,75.905987
573,India,1974,203.438294
574,Indonesia,1974,35.255924
575,Malaysia,1974,15.239512
576,Mongolia,1974,..
577,Myanmar,1974,4.02564
578,Nepal,1974,0.373918
579,Pakistan,1974,17.959063
580,Philippines,1974,26.556041
581,Singapore,1974,8.464359
582,Sri Lanka,1974,2.887007
583,Chinese Taipei,1974,37.136434
584,Thailand,1974,20.647901
585,Viet Nam,1974,14.41353
586,Other Asia,1974,13.679103
587,Asia (excl. China),1974,481.020762
588,People's Rep. of China,1974,881.732495
589,"Hong Kong, China",1974,11.005085
590,"China (incl. Hong Kong, China)",1974,892.73758
591,Argentina,1974,87.346588
592,Bolivia,1974,2.737852
593,Brazil,1974,121.847281
594,Colombia,1974,30.819718
595,Costa Rica,1974,1.576507
596,Cuba,1974,23.557074
597,Curaçao,1974,14.122548
598,Dominican Republic,1974,4.998163
599,Ecuador,1974,5.235338
600,El Salvador,1974,1.698276
601,Guatemala,1974,2.714006
602,Haiti,1974,0.408776
603,Honduras,1974,1.249289
604,Jamaica,1974,7.415011
605,Nicaragua,1974,1.837817
606,Panama,1974,2.978268
607,Paraguay,1974,0.666169
608,Peru,1974,17.490844
609,Suriname,1974,..
610,Trinidad and Tobago,1974,5.194405
611,Uruguay,1974,5.036873
612,Venezuela,1974,56.264607
613,Other Non-OECD Americas,1974,8.575003
614,Non-OECD Americas,1974,403.770413
615,Bahrain,1974,5.049697
616,Islamic Rep. of Iran,1974,58.70695
617,Iraq,1974,12.827445
618,Jordan,1974,1.829317
619,Kuwait,1974,15.712203
620,Lebanon,1974,6.488247
621,Oman,1974,0.448978
622,Qatar,1974,2.998563
623,Saudi Arabia,1974,20.205112
624,Syrian Arab Republic ,1974,6.984725
625,United Arab Emirates,1974,3.371135
626,Yemen,1974,1.843756
627,Middle East,1974,136.466128
628,Canada,1975,377.105855
629,Chile,1975,17.111657
630,Mexico,1975,134.558202
631,United States,1975,4355.839181
632,OECD Americas,1975,4884.614895
633,Australia,1975,179.467397
634,Israel,1975,16.410171
635,Japan,1975,849.909997
636,Korea,1975,77.728222
637,New Zealand,1975,16.429691
638,OECD Asia Oceania,1975,1139.945478
639,Austria,1975,49.488796
640,Belgium,1975,115.556917
641,Czech Republic,1975,154.982193
642,Denmark,1975,52.645648
643,Estonia,1975,..
644,Finland,1975,44.188917000000004
645,France,1975,423.108047
646,Germany,1975,973.365909
647,Greece,1975,34.099717
648,Hungary,1975,70.172709
649,Iceland,1975,1.614157
650,Ireland,1975,21.14887
651,Italy,1975,317.060307
652,Latvia,1975,..
653,Lithuania,1975,..
654,Luxembourg,1975,12.739168
655,Netherlands,1975,131.96201
656,Norway,1975,23.603322
657,Poland,1975,338.900005
658,Portugal,1975,18.03111
659,Slovak Republic,1975,43.153699
660,Slovenia,1975,..
661,Spain,1975,155.843041
662,Sweden,1975,79.041446
663,Switzerland,1975,36.753441
664,Turkey,1975,59.631229
665,United Kingdom,1975,576.041678
666,OECD Europe,1975,3733.132336
667,Albania,1975,4.338334
668,Armenia,1975,..
669,Azerbaijan,1975,..
670,Belarus,1975,..
671,Bosnia and Herzegovina,1975,..
672,Bulgaria,1975,73.315187
673,Croatia,1975,..
674,Cyprus,1975,1.658258
675,Georgia,1975,..
676,Gibraltar,1975,0.062036
677,Kazakhstan,1975,..
678,Kosovo,1975,..
679,Kyrgyzstan,1975,..
680,Malta,1975,0.651329
681,Republic of Moldova,1975,..
682,Montenegro,1975,..
683,Republic of North Macedonia,1975,..
684,Romania,1975,140.600336
685,Russian Federation,1975,..
686,Serbia,1975,..
687,Tajikistan,1975,..
688,Turkmenistan,1975,..
689,Ukraine,1975,..
690,Uzbekistan,1975,..
691,Former Soviet Union (if no detail),1975,2480.695966
692,Former Yugoslavia (if no detail),1975,73.469765
693,Non-OECD Europe and Eurasia,1975,2774.791211
694,Algeria,1975,13.552694
695,Angola,1975,1.955802
696,Benin,1975,0.462751
697,Botswana,1975,..
698,Cameroon,1975,1.019224
699,Congo,1975,0.606426
700,Côte d'Ivoire,1975,3.03834
701,Dem. Rep. of Congo,1975,2.620726
702,Egypt,1975,25.581444
703,Eritrea,1975,..
704,Ethiopia,1975,1.17811
705,Gabon,1975,0.757319
706,Ghana,1975,2.305818
707,Kenya,1975,3.460622
708,Libya,1975,8.6706
709,Mauritius,1975,0.4224
710,Morocco,1975,9.662413
711,Mozambique,1975,2.375964
712,Namibia,1975,..
713,Niger,1975,..
714,Nigeria,1975,10.816425
715,Senegal,1975,1.609257
716,South Africa,1975,202.998951
717,South Sudan,1975,..
718,Sudan,1975,3.212724
719,United Rep. of Tanzania,1975,1.405116
720,Togo,1975,0.317366
721,Tunisia,1975,4.846357
722,Zambia,1975,4.326456
723,Zimbabwe,1975,7.16925
724,Other Africa,1975,9.885997
725,Africa,1975,324.258552
726,Bangladesh,1975,4.409654
727,Brunei Darussalam,1975,1.408173
728,Cambodia,1975,..
729,DPR of Korea,1975,78.598511
730,India,1975,217.193593
731,Indonesia,1975,37.839826
732,Malaysia,1975,16.217173
733,Mongolia,1975,..
734,Myanmar,1975,3.927468
735,Nepal,1975,0.318654
736,Pakistan,1975,19.981642
737,Philippines,1975,29.244261
738,Singapore,1975,8.439735
739,Sri Lanka,1975,2.637329
740,Chinese Taipei,1975,40.743958
741,Thailand,1975,21.151546
742,Viet Nam,1975,16.953904
743,Other Asia,1975,12.761011
744,Asia (excl. China),1975,511.826438
745,People's Rep. of China,1975,1029.31944
746,"Hong Kong, China",1975,10.897089
747,"China (incl. Hong Kong, China)",1975,1040.216529
748,Argentina,1975,85.231756
749,Bolivia,1975,3.224491
750,Brazil,1975,129.628181
751,Colombia,1975,28.297258
752,Costa Rica,1975,1.738003
753,Cuba,1975,24.184624
754,Curaçao,1975,10.195285
755,Dominican Republic,1975,5.213329
756,Ecuador,1975,5.935604
757,El Salvador,1975,1.929707
758,Guatemala,1975,3.015686
759,Haiti,1975,0.412844
760,Honduras,1975,1.327971
761,Jamaica,1975,7.448304
762,Nicaragua,1975,1.849605
763,Panama,1975,3.096657
764,Paraguay,1975,0.703543
765,Peru,1975,18.240381
766,Suriname,1975,..
767,Trinidad and Tobago,1975,4.57518
768,Uruguay,1975,5.333968
769,Venezuela,1975,56.070364
770,Other Non-OECD Americas,1975,10.868678
771,Non-OECD Americas,1975,408.521419
772,Bahrain,1975,5.229829
773,Islamic Rep. of Iran,1975,68.032544
774,Iraq,1975,15.538682
775,Jordan,1975,2.151025
776,Kuwait,1975,15.107406
777,Lebanon,1975,5.709367
778,Oman,1975,0.72224
779,Qatar,1975,4.927527
780,Saudi Arabia,1975,22.518895
781,Syrian Arab Republic ,1975,8.260522
782,United Arab Emirates,1975,4.919173
783,Yemen,1975,1.752491
784,Middle East,1975,154.869701
785,Canada,1976,389.220686
786,Chile,1976,17.892473
787,Mexico,1976,145.195089
788,United States,1976,4616.828588
789,OECD Americas,1976,5169.136836
790,Australia,1976,181.886685
791,Israel,1976,16.484552
792,Japan,1976,876.4601720000001
793,Korea,1976,86.410592
794,New Zealand,1976,18.177912
795,OECD Asia Oceania,1976,1179.419913
796,Austria,1976,53.948382
797,Belgium,1976,124.648283
798,Czech Republic,1976,159.828856
799,Denmark,1976,58.309554
800,Estonia,1976,..
801,Finland,1976,50.402788
802,France,1976,463.082467
803,Germany,1976,1029.249705
804,Greece,1976,38.825879
805,Hungary,1976,73.341083
806,Iceland,1976,1.59045
807,Ireland,1976,21.876159
808,Italy,1976,341.984762
809,Latvia,1976,..
810,Lithuania,1976,..
811,Luxembourg,1976,13.641986
812,Netherlands,1976,140.723494
813,Norway,1976,25.342984
814,Poland,1976,362.484716
815,Portugal,1976,19.347863
816,Slovak Republic,1976,43.689704
817,Slovenia,1976,..
818,Spain,1976,172.513826
819,Sweden,1976,85.860411
820,Switzerland,1976,38.581554
821,Turkey,1976,66.674617
822,United Kingdom,1976,582.095187
823,OECD Europe,1976,3968.04471
824,Albania,1976,4.677358
825,Armenia,1976,..
826,Azerbaijan,1976,..
827,Belarus,1976,..
828,Bosnia and Herzegovina,1976,..
829,Bulgaria,1976,73.199135
830,Croatia,1976,..
831,Cyprus,1976,1.93937
832,Georgia,1976,..
833,Gibraltar,1976,0.062083
834,Kazakhstan,1976,..
835,Kosovo,1976,..
836,Kyrgyzstan,1976,..
837,Malta,1976,0.740289
838,Republic of Moldova,1976,..
839,Montenegro,1976,..
840,Republic of North Macedonia,1976,..
841,Romania,1976,153.509375
842,Russian Federation,1976,..
843,Serbia,1976,..
844,Tajikistan,1976,..
845,Turkmenistan,1976,..
846,Ukraine,1976,..
847,Uzbekistan,1976,..
848,Former Soviet Union (if no detail),1976,2572.023097
849,Former Yugoslavia (if no detail),1976,74.802444
850,Non-OECD Europe and Eurasia,1976,2880.953151
851,Algeria,1976,15.94481
852,Angola,1976,1.939556
853,Benin,1976,0.280361
854,Botswana,1976,..
855,Cameroon,1976,0.930459
856,Congo,1976,0.74315
857,Côte d'Ivoire,1976,3.483598
858,Dem. Rep. of Congo,1976,2.690006
859,Egypt,1976,29.858133
860,Eritrea,1976,..
861,Ethiopia,1976,1.184784
862,Gabon,1976,1.172804
863,Ghana,1976,2.348777
864,Kenya,1976,3.97052
865,Libya,1976,9.227935
866,Mauritius,1976,0.488437
867,Morocco,1976,10.611978
868,Mozambique,1976,2.426944
869,Namibia,1976,..
870,Niger,1976,..
871,Nigeria,1976,13.711857
872,Senegal,1976,1.676251
873,South Africa,1976,216.842805
874,South Sudan,1976,..
875,Sudan,1976,3.187272
876,United Rep. of Tanzania,1976,1.37833
877,Togo,1976,0.268867
878,Tunisia,1976,5.136259
879,Zambia,1976,4.309655
880,Zimbabwe,1976,7.986329
881,Other Africa,1976,10.792783
882,Africa,1976,352.59266
883,Bangladesh,1976,4.682437
